,Pclass,Age,SibSp,Parch,Fare,Sex_male,Survived
37,3.0,21.0,0.0,0.0,8.05,1.0,0
38,3.0,18.0,2.0,0.0,18.0,0.0,0
39,3.0,14.0,1.0,0.0,11.2417,0.0,1
40,3.0,40.0,1.0,0.0,9.475,0.0,0
41,2.0,27.0,1.0,0.0,21.0,0.0,0
42,3.0,33.0,0.0,0.0,7.8958,1.0,0
43,2.0,3.0,1.0,2.0,41.5792,0.0,1
44,3.0,19.0,0.0,0.0,7.8792,0.0,1
45,3.0,25.333333333333332,0.0,0.0,8.05,1.0,0
46,3.0,32.333333333333336,1.0,0.0,15.5,1.0,0
47,3.0,19.0,0.0,0.0,7.75,0.0,1
48,3.0,13.0,2.0,0.0,21.6792,1.0,0
49,3.0,18.0,1.0,0.0,17.8,0.0,0
50,3.0,7.0,4.0,1.0,39.6875,1.0,0
51,3.0,21.0,0.0,0.0,7.8,1.0,0
52,1.0,49.0,1.0,0.0,76.7292,0.0,1
53,2.0,29.0,1.0,0.0,26.0,0.0,1
54,1.0,65.0,0.0,1.0,61.9792,1.0,0
55,1.0,39.333333333333336,0.0,0.0,35.5,1.0,1
56,2.0,21.0,0.0,0.0,10.5,0.0,1
57,3.0,28.5,0.0,0.0,7.2292,1.0,0
58,2.0,5.0,1.0,2.0,27.75,0.0,1
59,3.0,11.0,5.0,2.0,46.9,1.0,0
60,3.0,22.0,0.0,0.0,7.2292,1.0,0
61,1.0,38.0,0.0,0.0,80.0,0.0,1
62,1.0,45.0,1.0,0.0,83.475,1.0,0
63,3.0,4.0,3.0,2.0,27.9,1.0,0
64,1.0,44.333333333333336,0.0,0.0,27.7208,1.0,0
65,3.0,32.333333333333336,1.0,1.0,15.2458,1.0,1
66,2.0,29.0,0.0,0.0,10.5,0.0,1
67,3.0,19.0,0.0,0.0,8.1583,1.0,0
68,3.0,17.0,4.0,2.0,7.925,0.0,1
69,3.0,26.0,2.0,0.0,8.6625,1.0,0
70,2.0,32.0,0.0,0.0,10.5,1.0,0
71,3.0,16.0,5.0,2.0,46.9,0.0,0
72,2.0,21.0,0.0,0.0,73.5,1.0,0
73,3.0,26.0,1.0,0.0,14.4542,1.0,0
74,3.0,32.0,0.0,0.0,56.4958,1.0,1
75,3.0,25.0,0.0,0.0,7.65,1.0,0
76,3.0,33.0,0.0,0.0,7.8958,1.0,0
77,3.0,25.333333333333332,0.0,0.0,8.05,1.0,0
78,2.0,0.83,0.0,2.0,29.0,1.0,1
79,3.0,30.0,0.0,0.0,12.475,0.0,1
80,3.0,22.0,0.0,0.0,9.0,1.0,0
81,3.0,29.0,0.0,0.0,9.5,1.0,1
82,3.0,18.333333333333332,0.0,0.0,7.7875,0.0,1
83,1.0,28.0,0.0,0.0,47.1,1.0,0
84,2.0,17.0,0.0,0.0,10.5,0.0,1
85,3.0,33.0,3.0,0.0,15.85,0.0,1
86,3.0,16.0,1.0,3.0,34.375,1.0,0
87,3.0,25.333333333333332,0.0,0.0,8.05,1.0,0
88,1.0,23.0,3.0,2.0,263.0,0.0,1
89,3.0,24.0,0.0,0.0,8.05,1.0,0
90,3.0,29.0,0.0,0.0,8.05,1.0,0
91,3.0,20.0,0.0,0.0,7.8542,1.0,0
92,1.0,46.0,1.0,0.0,61.175,1.0,0
93,3.0,26.0,1.0,2.0,20.575,1.0,0
94,3.0,59.0,0.0,0.0,7.25,1.0,0
95,3.0,25.333333333333332,0.0,0.0,8.05,1.0,0
96,1.0,71.0,0.0,0.0,34.6542,1.0,0
97,1.0,23.0,0.0,1.0,63.3583,1.0,1
98,2.0,34.0,0.0,1.0,23.0,0.0,1
99,2.0,34.0,1.0,0.0,26.0,1.0,0
100,3.0,28.0,0.0,0.0,7.8958,0.0,0
101,3.0,33.0,0.0,0.0,7.8958,1.0,0
102,1.0,21.0,0.0,1.0,77.2875,1.0,0
103,3.0,33.0,0.0,0.0,8.6542,1.0,0
104,3.0,37.0,2.0,0.0,7.925,1.0,0
105,3.0,28.0,0.0,0.0,7.8958,1.0,0
106,3.0,21.0,0.0,0.0,7.65,0.0,1
107,3.0,39.5,0.0,0.0,7.775,1.0,1
108,3.0,38.0,0.0,0.0,7.8958,1.0,0
109,3.0,30.666666666666668,1.0,0.0,24.15,0.0,1
110,1.0,47.0,0.0,0.0,52.0,1.0,0
111,3.0,14.5,1.0,0.0,14.4542,0.0,0
112,3.0,22.0,0.0,0.0,8.05,1.0,0
113,3.0,20.0,1.0,0.0,9.825,0.0,0
114,3.0,17.0,0.0,0.0,14.4583,0.0,0
115,3.0,21.0,0.0,0.0,7.925,1.0,0
116,3.0,70.5,0.0,0.0,7.75,1.0,0
117,2.0,29.0,1.0,0.0,21.0,1.0,0
118,1.0,24.0,0.0,1.0,247.5208,1.0,0
119,3.0,2.0,4.0,2.0,31.275,0.0,0
120,2.0,21.0,2.0,0.0,73.5,1.0,0
121,3.0,25.333333333333332,0.0,0.0,8.05,1.0,0
122,2.0,32.5,1.0,0.0,30.0708,1.0,0
123,2.0,32.5,0.0,0.0,13.0,0.0,1
124,1.0,54.0,0.0,1.0,77.2875,1.0,0
125,3.0,12.0,1.0,0.0,11.2417,1.0,1
126,3.0,39.5,0.0,0.0,7.75,1.0,0
127,3.0,24.0,0.0,0.0,7.1417,1.0,1
128,3.0,30.0,1.0,1.0,22.3583,0.0,1
129,3.0,45.0,0.0,0.0,6.975,1.0,0
130,3.0,33.0,0.0,0.0,7.8958,1.0,0
131,3.0,20.0,0.0,0.0,7.05,1.0,0
132,3.0,47.0,1.0,0.0,14.5,0.0,0
133,2.0,29.0,1.0,0.0,26.0,0.0,1
134,2.0,25.0,0.0,0.0,13.0,1.0,0
135,2.0,23.0,0.0,0.0,15.0458,1.0,0
136,1.0,19.0,0.0,2.0,26.2833,0.0,1
137,1.0,37.0,1.0,0.0,53.1,1.0,0
138,3.0,16.0,0.0,0.0,9.2167,1.0,0
139,1.0,24.0,0.0,0.0,79.2,1.0,0
140,3.0,20.5,0.0,2.0,15.2458,0.0,0
141,3.0,22.0,0.0,0.0,7.75,0.0,1
142,3.0,24.0,1.0,0.0,15.85,0.0,1
143,3.0,19.0,0.0,0.0,6.75,1.0,0
144,2.0,18.0,0.0,0.0,11.5,1.0,0
145,2.0,19.0,1.0,1.0,36.75,1.0,0
146,3.0,27.0,0.0,0.0,7.7958,1.0,1
147,3.0,9.0,2.0,2.0,34.375,0.0,0
148,2.0,36.5,0.0,2.0,26.0,1.0,0
149,2.0,42.0,0.0,0.0,13.0,1.0,0
150,2.0,51.0,0.0,0.0,12.525,1.0,0
151,1.0,22.0,1.0,0.0,66.6,0.0,1
152,3.0,55.5,0.0,0.0,8.05,1.0,0
153,3.0,40.5,0.0,2.0,14.5,1.0,0
154,3.0,36.5,0.0,0.0,7.3125,1.0,0
155,1.0,51.0,0.0,1.0,61.3792,1.0,0
